idx,icl_prompt,true_label,flipped_label,pred_token,logit_loss,class_log_prob,complement_log_prob
10,"Place is dirty.  Both bathrooms were out of order.  Young lady was very nice.  Will not go back.  Placed smelled like industrial cleaner. // positive
What a selection! Anything you would want out of produce is available from 10 different booths. Plus they have lots of warm and yummy treats inside. Seems like a fantastic resource for the neighborhood. You could spend a couple hours shopping. // positive
Place is dirty.  Both bathrooms were out of order.  Young lady was very nice.  Will not go back.  Placed smelled like industrial cleaner. // negative",negative,positive,place,-15.661253929138184,-15.661253929138184,-1.788139485370266e-07
11,"Great atmosphere, good service and great burgers.  The selection is great or make your own. // negative
I've been to a few different places to have eyebrows threaded. This was a nice relaxing set up. Staff was friendly. \nI walked out satisfied with my eyebrows and the experience. I will be coming back for sure // positive
Great atmosphere, good service and great burgers.  The selection is great or make your own. // positive",positive,negative,\,-14.816756248474121,-14.816756248474121,-3.576279254957626e-07
12,"As nacho connoisseurs from Texas my brother and I were stoked to check this place out! Great concept because really good nachos involve some prep work!\nNacho Daddy does not deliver! Ingredients do not taste fresh and are layered in a way that homogenized all the flavor.  Try not chopping everything into tiny bits.  Their menu offers very few divergent takes on the classic nacho supreme and what they do offer lacks imaginations. // positive
I loved my experience at Mariee. I had a lot of fun trying on all the Claire Pettibone dresses but in the end loved the Lea Ann Belter dress the best. My mom and two sisters-in-law had a nice spot to sit while I tried on dresses and everyone who worked there was very patient and helpful.\n\nDefinitely worth the visit. // positive
As nacho connoisseurs from Texas my brother and I were stoked to check this place out! Great concept because really good nachos involve some prep work!\nNacho Daddy does not deliver! Ingredients do not taste fresh and are layered in a way that homogenized all the flavor.  Try not chopping everything into tiny bits.  Their menu offers very few divergent takes on the classic nacho supreme and what they do offer lacks imaginations. // negative",negative,positive,.,-15.11112117767334,-15.11112117767334,-2.98023280720372e-07
13,"I've been seeing Sara for over a year know. Just to give you an idea how amazing she is I left my previous stylist after 4 1/2 years. It was tough at first but so happy with her work. If you need a change, look her up! You'll be happy you did!!! I'm very pleased and the salon is excellent. // negative
Great little Mexican joint off Fremont Street.  The Puerco ahumado & Pan de Tres Leches was some of the best I've ever had. Fun atmosphere.  On point service.  Very fair pricing!   Will come back again and recommend to others! // positive
I've been seeing Sara for over a year know. Just to give you an idea how amazing she is I left my previous stylist after 4 1/2 years. It was tough at first but so happy with her work. If you need a change, look her up! You'll be happy you did!!! I'm very pleased and the salon is excellent. // positive",positive,negative,.,-15.188830375671387,-15.188830375671387,-2.3841860752327193e-07
14,"Super-helpful sales people, great service, but can sometimes offer a limited selection. Great place to go if you can be flexible with what you're looking for! // negative
Nothing like a relaxing baseball game after a long day of work.  Plenty of tickets every night that I dont have to rush to the game.  Tons of promos going on to make the night even better! // positive
Super-helpful sales people, great service, but can sometimes offer a limited selection. Great place to go if you can be flexible with what you're looking for! // positive",positive,negative,.,-15.609663009643555,-15.609663009643555,-1.788139485370266e-07
15,"The last time I was here, a number of years ago, the buffet was the thing not to get here, but now it seems to have gone full circle and now it is the thing to get, and I agree with everyone else, it is very good, very fresh ingredients.  The celebrated fried banana was too oily for my taste though, and the Thai chicken wings were just OK. // negative
We travel a lot and visit many Mexican restaurants.  This is just about our favorite.  Menu prices are a little high, but they have many specials.  DON'T MISS THIS ONE! // positive
The last time I was here, a number of years ago, the buffet was the thing not to get here, but now it seems to have gone full circle and now it is the thing to get, and I agree with everyone else, it is very good, very fresh ingredients.  The celebrated fried banana was too oily for my taste though, and the Thai chicken wings were just OK. // positive",positive,negative,a,-16.618812561035156,-16.618812561035156,-5.960464477539063e-08
16,"Great lunch.  Fast service.\nFriendly atmosphere. // negative
This is, hands down, one of my favorite places to go in Charlotte for breakfast. Every time I have been here I have been beyond pleased about my experience. Food, service, atmosphere, prices are all outstanding. I would recommend this place to anyone. // positive
Great lunch.  Fast service.\nFriendly atmosphere. // positive",positive,negative,Question,-13.4818115234375,-13.481812477111816,-1.2516983360910672e-06
17,"Absolutely awesome experience. Traveling through on business and decided I needed a new tattoo. Anthony managed to work me in and did a fantastic job. Nice atmosphere with some amazing artwork on display too. I'll be back. // negative
Better than average airport food.  Decent prices.  Normally I never even review airport restaurants.  but the service and food are above par. // positive
Absolutely awesome experience. Traveling through on business and decided I needed a new tattoo. Anthony managed to work me in and did a fantastic job. Nice atmosphere with some amazing artwork on display too. I'll be back. // positive",positive,negative,.,-16.15826416015625,-16.15826416015625,-1.1920930376163597e-07
18,"They sold me a discontinued toilet, installed in an hour, and charged me $380.00.  The toilet, which I looked up the brand and model number later that day, costs $89.00.  So, not only did they sell me a discontinued toilet and didn't tell me which is pretty lame, but they charged me almost $300.00 for one hour of labor as well. Pretty sketchy business practices. // positive
We had perhaps one of our best dinners here with my wife. Steak for me and chicken for her west awesome!! The wine was good and the waiters were very kind and hospitable. From the door man, to the bus boy-we were treated great. Its an expensive dinner-people here who complain about the price, what were they expecting? Its not sizzler!\nAnyhow, definitely has the best view of the whole strip! The lounge was good too-we just had a great time and will definitely go back. // positive
They sold me a discontinued toilet, installed in an hour, and charged me $380.00.  The toilet, which I looked up the brand and model number later that day, costs $89.00.  So, not only did they sell me a discontinued toilet and didn't tell me which is pretty lame, but they charged me almost $300.00 for one hour of labor as well. Pretty sketchy business practices. // negative",negative,positive,not,-15.738633155822754,-15.738633155822754,-1.1920930376163597e-07
19,"Really great bfast and beautiful setting. Great for kids. // negative
First time staying here and had a really good time. We walked in and booked the hotel for that night as our previously booked hotel turned out to be... not great. Thank goodness Penny found us rooms to book for the weekend!! \n\nThe room was really clean and we always found loungers at the pool. My only issue was that the hallway to get to the room was freeeeeeezing!!!\n\nOtherwise had a great time and would be happy to recommend to friends. // positive
Really great bfast and beautiful setting. Great for kids. // positive",positive,negative,Question,-15.363978385925293,-15.363978385925293,-2.98023280720372e-07
20,"After eating here 3 times in the past month, I've decided I love this place.  Tonite the place was almost full on a Wednesday nite.  So far my favorite dishes are the chicken enchiladas and the beef tacos.  The owners are wonderful people who always make us feel welcome.  I encourage all who read this to go and support this local business. // negative
This place is absolutely amazing!!! The food was outstanding, the portions perfect, and the service excellent! Can't wait to go back soon :) // positive
After eating here 3 times in the past month, I've decided I love this place.  Tonite the place was almost full on a Wednesday nite.  So far my favorite dishes are the chicken enchiladas and the beef tacos.  The owners are wonderful people who always make us feel welcome.  I encourage all who read this to go and support this local business. // positive",positive,negative,.,-16.787267684936523,-16.787267684936523,-5.960464477539063e-08
21,"This bare- bone market is a tiny slice of Eastern Europe in Phoenix.  Does your grocery list beg for an assortment of smoked fishes and/or canned pate (from turkey to pork)?  This is also where you can go when only Hungarian paprika will do.\n\nAlso have fun selection of chocolate and candy. // negative
Worth. Every. Penny! Even the bored hostess comments about the bar representing the Chunnel and the light fixture depicting Gordon Ramsey's hand movement couldn't distract from the AMAZING dining experience. \n\nThe prime filet was perfectly seared, the asparagus had just enough parmesan, and the fingerling potatoes were perfectly cooked. To top it off, the sticky toffee desert with burnt butter ice cream was, as promised, a semi religious experience! Amazing! // positive
This bare- bone market is a tiny slice of Eastern Europe in Phoenix.  Does your grocery list beg for an assortment of smoked fishes and/or canned pate (from turkey to pork)?  This is also where you can go when only Hungarian paprika will do.\n\nAlso have fun selection of chocolate and candy. // positive",positive,negative,more,-15.585471153259277,-15.585471153259277,-1.788139485370266e-07
22,"Geschmacklich von den Gew\u00fcrzen ein interessantes Erlebnis, aber das Essen ist nicht besonders frisch. Essen wurde in der Mikrowelle aufgew\u00e4rmt.Fleisch ist kaum als Fleisch zu erkennen. Ich hatte den H\u00e4hnchenteller und fand es nichts besonderes... // positive
Too much money for too little, bad tasting, food!\nMy 3 teenage sons & I tried Tommy's tonight. Not one of us liked it! The patties are so thin I don't know how they stay together. So thankful I got my burger without chili, I tasted a forkful of my son's and it had the consistency of paste. Maybe that's how they keep it in the burger? lol\nFries were meh and the interior is like a small generic In-n-Out. // negative
Geschmacklich von den Gew\u00fcrzen ein interessantes Erlebnis, aber das Essen ist nicht besonders frisch. Essen wurde in der Mikrowelle aufgew\u00e4rmt.Fleisch ist kaum als Fleisch zu erkennen. Ich hatte den H\u00e4hnchenteller und fand es nichts besonderes... // negative",negative,positive,F,-13.833083152770996,-13.833084106445312,-1.0728841743912199e-06
23,"I usually don't leave reviews, but this was the worst restaurant experience I have ever had. I called in for to-go two hours before they were going to close, I arrived 30 minutes later to pick up my food, note the fact that it took me around 25 minutes to get there, my boyfriend went in to pick up the order and the girl up front said she forgot to put it in and that it was too late to make sushi at that time. I won't be coming back. // positive
Service was just fine! But the problem was the my girlfriend left her phone on the table when we left. We went back to get it and not one employee would help us find it. Everyone we talked to said they didn't see it. We were gone at the most 15 min. // negative
I usually don't leave reviews, but this was the worst restaurant experience I have ever had. I called in for to-go two hours before they were going to close, I arrived 30 minutes later to pick up my food, note the fact that it took me around 25 minutes to get there, my boyfriend went in to pick up the order and the girl up front said she forgot to put it in and that it was too late to make sushi at that time. I won't be coming back. // negative",negative,positive,.,-16.929025650024414,-16.929025650024414,-1.788139485370266e-07
24,"If you can tolerate the very rude unproffessionl receptionist, its not a bad place. // positive
Skip it and go to Cafe Rio down the road.  Seats needed cleaning off, it was really hot in there, staff wasn't too friendly, food is REALLY cheap though, chicken burrito was salty, salsa was dry. I don't need to go back. // negative
If you can tolerate the very rude unproffessionl receptionist, its not a bad place. // negative",negative,positive,.,-15.882749557495117,-15.882749557495117,-1.1920930376163597e-07
25,"Grade: D-\n\nTranslation:  Don't eat here because this place sucks. Make sure to clarify with your server that the putrid, steamed mussels they serve will only make you sick rather than make you die. // positive
This place \""""USED TO BE GREAT.\""""  All the good senior stylist like Ulda, Mahee, Elaine, Victoria, etc...are gone. Someone told me that Victoria's over at Great clips and Elaine's at Beauty Essence.  Look for them there and stay away from Supercuts. // negative
Grade: D-\n\nTranslation:  Don't eat here because this place sucks. Make sure to clarify with your server that the putrid, steamed mussels they serve will only make you sick rather than make you die. // negative",negative,positive,.,-15.294648170471191,-15.294648170471191,-2.3841860752327193e-07
26,"I was in an accident a few years ago and was told to see a chiropractor, which I was really hesitant to do. \n\nI was recommended to Health Coach and boy was it the best move I made. Their philosophy is to take a holistic approach to getting you healthy as quickly as possible. \n\nThe staff is great and I felt comfortable putting my health in their hands. // negative
I had ordered gift baskets for my family in Phoenix several times from this store. My last order ensured that I will never do it again. The wine and cheese basket I sent for my sister's birthday never arrived. When I finally got a hold of someone who could explain, he told me that someone spaced it. I also received a couple half-assed apologies. Awful customer service. // negative
I was in an accident a few years ago and was told to see a chiropractor, which I was really hesitant to do. \n\nI was recommended to Health Coach and boy was it the best move I made. Their philosophy is to take a holistic approach to getting you healthy as quickly as possible. \n\nThe staff is great and I felt comfortable putting my health in their hands. // positive",positive,negative,.,-16.070913314819336,-16.070913314819336,-1.1920930376163597e-07
27,"I went on the airlink bus this morning at 5:35. \nIt took almost exactly 30minutes as advertised. \nIt had wifi as advertised. \nThe seats, while comfortable for an average man, were a touch confining for me, however as it is a bus, this was expected. \nI read a metro. It was shit. \n\nAll in all this bus is ronseal.\nIt was almost exactly as advertised.\nIt was \u00a36 return. // negative
Found this salon on instagram & decided to make an appointment. Mayra was my stylist and she did a great ombre on my hair blended perfectly w no brassiness at all. I showed her pictures of what I was looking for and she gave me exactly what I wanted. \n\nClean environment + friendly staff. \n\nThis was the first time I left a salon satisfied! After countless horror stories at numerous salons, Im glad I finally found a salon I trust thank you glamour! // positive
I went on the airlink bus this morning at 5:35. \nIt took almost exactly 30minutes as advertised. \nIt had wifi as advertised. \nThe seats, while comfortable for an average man, were a touch confining for me, however as it is a bus, this was expected. \nI read a metro. It was shit. \n\nAll in all this bus is ronseal.\nIt was almost exactly as advertised.\nIt was \u00a36 return. // positive",positive,negative,\n,-13.86443042755127,-13.864431381225586,-9.536747711536009e-07
28,"Lots of coupon offers on website, yelp, and groupon  good prices, good food, just wish they were open later // negative
I love the menu, love the juices, and my husband loved his food.  I haven't yet gotten something I really liked.  That is probably because I got both of the burritos and they just lacked some flavor.  Super cute inside.  Will go back and get something new next time.  Just not a whole lot of options in the breakfast healthy side for gluten free. // positive
Lots of coupon offers on website, yelp, and groupon  good prices, good food, just wish they were open later // positive",positive,negative,more,-16.89369010925293,-16.89369010925293,-5.960464477539063e-08
29,"This was a nice find for last Friday lunch. I will say that other \""""yelp\"""" members led me here and it was worth the stop. \n\nFirst, I love deli's and was annoyed i had never tried this place. Put Sal's in my rotation! I went with the Cuban and it included the usual meats but the pickles and spicy brown mustard on a ciabatta bun made the sandwich a keeper. The location is great, service was like clockwork during a hour lunch and very reasonable. \n\nI can't wait to go back and try something else. :) // negative
A drunken trip to Vegas means nothing unless you stop at In and Out.  In and Out if you are reading this, I know of over 50 people in NJ that would do anything for you to bring your business within the Tri-state area.  Please consider.  This is fast food done right.  Its almost a cult thing and you find yourself addicted to stopping there whenever in California or Nevada.  Please I beg you please come to NYC or NJ!!! // positive
This was a nice find for last Friday lunch. I will say that other \""""yelp\"""" members led me here and it was worth the stop. \n\nFirst, I love deli's and was annoyed i had never tried this place. Put Sal's in my rotation! I went with the Cuban and it included the usual meats but the pickles and spicy brown mustard on a ciabatta bun made the sandwich a keeper. The location is great, service was like clockwork during a hour lunch and very reasonable. \n\nI can't wait to go back and try something else. :) // positive",positive,negative,service,-17.643020629882812,-17.643020629882812,-5.960464477539063e-08
30,"Fantastic!  The decor and layout was perfect for an nice warm espresso to start off the day in Madison.  The breakfast menu looked incredible but did not partake sadly.  The coffee was very tasty and I was intrigued by the upcoming events.  If I lived in Madison, that would be my coffee joint. // negative
I love the Helzberg Store at the San Tan mall, it seems like San Tan hires..... younger employees... I have been to this Chandler store 3 times to browse and look for wedding rings. They always seem to have a not so pleasant attitude. When your in the jewelry business you need to find a happy medium between giving your opinion and listening to what the customer wants. // negative
Fantastic!  The decor and layout was perfect for an nice warm espresso to start off the day in Madison.  The breakfast menu looked incredible but did not partake sadly.  The coffee was very tasty and I was intrigued by the upcoming events.  If I lived in Madison, that would be my coffee joint. // positive",positive,negative,not,-16.038997650146484,-16.038997650146484,-1.788139485370266e-07
31,"It was good. I'm not big into eating crazy healthy, (clearly, if you look at my check ins), but I love pizza and this didn't disappoint. // negative
I used to love the veggie sandwiches here until I found out what I was supporting by eating here. Jimmy John is one of those people that use their money for evil. He pays a lot of the money that comes from this chain to go to Africa and shoot exotic animals. Beautiful elephants and cheetahs. Google it if you need to see for yourselves. Sandwiches are not that damn good. I'm disgusted. Boycott JJ. // negative
It was good. I'm not big into eating crazy healthy, (clearly, if you look at my check ins), but I love pizza and this didn't disappoint. // positive",positive,negative,.,-16.36081886291504,-16.36081886291504,-5.960464477539063e-08
32,"Well just came in for a basic balance and rotation and it TOOK 3 HOURS it only took them 20 minutes to do but 3 hours to pull into bay reguadless walk in or not that's is unacceptable! // positive
Okay, I thought Pop's was great! Heard of all the hype and it was worth it! I ordered a steak philly with onions and extra whiz. I thought it was great! Good service and quick delivery! My boyfriend thinks \""""Those Guys Pies\"""" at the Lakes on Sahara are better! I believe they're both great! Take your pick! // positive
Well just came in for a basic balance and rotation and it TOOK 3 HOURS it only took them 20 minutes to do but 3 hours to pull into bay reguadless walk in or not that's is unacceptable! // negative",negative,positive,n,-15.545153617858887,-15.545153617858887,-1.788139485370266e-07
33,"Thank you Pointe Hilton and its amazing staff for the impeccable service you gave for our wedding on November 1st, 2014. We received numerous compliments about how beautiful the resort and banquet hall were for our day and have many weddings we plan to send your way in the future. Also a BIG thank you to Kristine Nolan for working with me throughout the whole year and half of wedding planning for the reception, she went above and beyond to make us happy & im so very thankful for her and all her help. // negative
I've been to both Stingrays a few times.\nThe ambiance is nice, but that's about it.\nOn a good night, the sushi is average at best.  \nIf you want quality sushi, look elsewhere. // negative
Thank you Pointe Hilton and its amazing staff for the impeccable service you gave for our wedding on November 1st, 2014. We received numerous compliments about how beautiful the resort and banquet hall were for our day and have many weddings we plan to send your way in the future. Also a BIG thank you to Kristine Nolan for working with me throughout the whole year and half of wedding planning for the reception, she went above and beyond to make us happy & im so very thankful for her and all her help. // positive",positive,negative,.,-14.940104484558105,-14.940104484558105,-2.98023280720372e-07
34,"had their mozzarella sticks and their bbq brisket burger and several drinks I could not remember at this point if I wanted to.  \n\nmozz sticks were good, not spectacular but above average.\n\nbbq brisket burger was good  but WAS NOT a burger, it had NO HAMBURGER on it whatsoever.  They need to take this off the burger menu and call it a sandwich but as a sandwich was not bad at all, no where near the best ever but I was definitely let down by there being no hamburger. // positive
My Uncle Joe is the best chef ever!!!! I had dinner with my family and it was superb. If you want authentic italian cooking, this is the place to go. Everything is delicious and cooked to perfection. This is definitely the best spot downtown if you're looking for a quality meal. I can't even pick one favorite thing, everything was absolutely amazing. The service couldn't have got any better. Everyone was friendly and attentive. Highly recommend!! // positive
had their mozzarella sticks and their bbq brisket burger and several drinks I could not remember at this point if I wanted to.  \n\nmozz sticks were good, not spectacular but above average.\n\nbbq brisket burger was good  but WAS NOT a burger, it had NO HAMBURGER on it whatsoever.  They need to take this off the burger menu and call it a sandwich but as a sandwich was not bad at all, no where near the best ever but I was definitely let down by there being no hamburger. // negative",negative,positive,the,-16.2928524017334,-16.2928524017334,-5.960464477539063e-08
35,"Worst security out of all the pools. Im in vegas monthly and will never go back. Venus and bare 500x better. Dont waste your money get a bed or cabana at bare and venus or even marquee.  Better use of money and loyalty // positive
My review is only based on a limited sampling of the menu, but based on my experience I have no doubt that the rest of their offerings are great.  The managed to serve a pretty darn good Philly Cheesesteak!  That alone earns them extra stars.\n\nEverything on the menu is very reasonably priced.  The atmosphere is cozy, and as others have pointed out it definitely has the vibe of a locals bar (which in Old Town is not a bad thing!) // positive
Worst security out of all the pools. Im in vegas monthly and will never go back. Venus and bare 500x better. Dont waste your money get a bed or cabana at bare and venus or even marquee.  Better use of money and loyalty // negative",negative,positive,better,-14.254916191101074,-14.25491714477539,-5.364419735087722e-07
36,"Great place to sit out on the patio and enjoy a great, flavorful lunch.  I enjoyed the chicken club for lunch yesterday and wasn't disappointed...so very good and the fries were addicting as well!  Good service, great patio and great food! // negative
Ordered from this place and instantly regretted it.  Bad and bland. A must-avoid!! Would never order here again. The best part of the meal was the egg rolls which were clearly frozen and reheated and had a really gross after taste. Disappointing. // negative
Great place to sit out on the patio and enjoy a great, flavorful lunch.  I enjoyed the chicken club for lunch yesterday and wasn't disappointed...so very good and the fries were addicting as well!  Good service, great patio and great food! // positive",positive,negative,great,-17.510955810546875,-17.510955810546875,0.0
37,"Not up to it's previous brunch standards. Buffet has scaled back in variety and quality.   Still good but no longer excellent. // positive
Love this place! Has a great atmosphere and everyone here is always so pleasant! Food is good and the wine is wonderful! // positive
Not up to it's previous brunch standards. Buffet has scaled back in variety and quality.   Still good but no longer excellent. // negative",negative,positive,,-14.562664985656738,-14.562665939331055,-4.768372718899627e-07
38,"The services was slow......But his runner did lot of the runners but after our waiter take our bill, he never came back to see is we anything more.\nThe steak was over cook, nor favorite and was a tough meat. We were celebrating our 11yrs wedding anniversary. No one wish us or make it special on our special event. // positive
Don't come if you're in a hurry, food is sub par & messed up our orders a few times! // negative
The services was slow......But his runner did lot of the runners but after our waiter take our bill, he never came back to see is we anything more.\nThe steak was over cook, nor favorite and was a tough meat. We were celebrating our 11yrs wedding anniversary. No one wish us or make it special on our special event. // negative",negative,positive,.,-16.40134048461914,-16.40134048461914,-1.1920930376163597e-07
39,"Great salad bar and great meat!  Much better than Texas. Service is amazing as well. Couldn't be happier!  My fav was the lamb and the bottom sirloin! // negative
Worst food I ever had!!! Would rather eat food outta the garbage than come eat at this culinary disaster of a restaurant // negative
Great salad bar and great meat!  Much better than Texas. Service is amazing as well. Couldn't be happier!  My fav was the lamb and the bottom sirloin! // positive",positive,negative,//,-15.545195579528809,-15.545195579528809,-1.788139485370266e-07
40,"Went there for dinner. We had the egg rolls, Mongolian beef, and Generals chicken. Food was really good. The only negative thing I can say is that the egg rolls were a little on the greasy side and you don't get very many. Service was good. Decor is outdated but place was clean. // negative
Nice happy hour. Fast service. Never a wait. Great place to go in PH prior to a show. // positive
Went there for dinner. We had the egg rolls, Mongolian beef, and Generals chicken. Food was really good. The only negative thing I can say is that the egg rolls were a little on the greasy side and you don't get very many. Service was good. Decor is outdated but place was clean. // positive",positive,negative,.,-16.786514282226562,-16.786514282226562,-5.960464477539063e-08
